Campaign Name;Date;Email Subject;Target Criteria;Excluded Criteria;Sent;Total Opens;Open Rate;Unique Clicks;Unique Click Rate;Total Open;Total Clicks;Soft Bounce;Soft Bounce Rate;Hard Bounce;Hard Bounce Rate;Other;Other Rate;Unsubscribed;Unsubscribed Rate;Complaint;Complaint Rate;Visitor;Buyer;Buyer Conversion;Item;Revenue
burBUR_5462212;10/11/2025 08:30;<##PersonalSubject##>;;;10502;1134;10,80;0;0,00;1238;0;0;0,00;0;0,00;9368;89,20;0;0,00;0;0,00;;0;0,00;0;
ankANK_5462208;10/11/2025 08:30;<##PersonalSubject##>;;;24892;2548;10,24;0;0,00;2722;0;0;0,00;0;0,00;22344;89,76;0;0,00;0;0,00;;0;0,00;0;
istIST_5462206;10/11/2025 08:30;<##PersonalSubject##>;;;142249;13124;9,23;0;0,00;13915;0;0;0,00;0;0,00;129125;90,77;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462210;10/11/2025 08:30;<##PersonalSubject##>;;;35793;3070;8,58;0;0,00;3231;0;0;0,00;0;0,00;32723;91,42;0;0,00;0;0,00;;0;0,00;0;
antANT_5462214;10/11/2025 08:30;<##PersonalSubject##>;;;10503;1072;10,21;1;0,09;1144;1;0;0,00;0;0,00;9431;89,79;0;0,00;0;0,00;;0;0,00;0;
istIST_5462196;09/11/2025 08:30;<##PersonalSubject##>;;;141769;29969;21,14;15;0,05;32752;41;0;0,00;0;0,00;111800;78,86;0;0,00;0;0,00;;0;0,00;0;
ankANK_5462198;09/11/2025 08:30;<##PersonalSubject##>;;;24803;5491;22,14;1;0,02;6069;1;0;0,00;0;0,00;19312;77,86;0;0,00;0;0,00;;0;0,00;0;
burBUR_5462202;09/11/2025 08:30;<##PersonalSubject##>;;;10463;2357;22,53;0;0,00;2571;0;0;0,00;0;0,00;8106;77,47;0;0,00;0;0,00;;0;0,00;0;
antANT_5462204;09/11/2025 08:30;<##PersonalSubject##>;;;10488;2061;19,65;0;0,00;2244;0;0;0,00;0;0,00;8427;80,35;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462200;09/11/2025 08:30;<##PersonalSubject##>;;;35740;6405;17,92;2;0,03;6930;6;0;0,00;0;0,00;29335;82,08;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5462194;08/11/2025 13:00;<##PersonalSubject##>;;;208657;45235;21,68;34;0,08;49760;63;0;0,00;0;0,00;163422;78,32;0;0,00;0;0,00;;0;0,00;0;
antANT_5462192;08/11/2025 08:30;<##PersonalSubject##>;;;10458;2237;21,39;1;0,04;2404;5;0;0,00;0;0,00;8221;78,61;0;0,00;0;0,00;;0;0,00;0;
ankANK_5462186;08/11/2025 08:30;<##PersonalSubject##>;;;24564;5726;23,31;19;0,33;6353;57;0;0,00;0;0,00;18838;76,69;0;0,00;0;0,00;;0;0,00;0;
burBUR_5462190;08/11/2025 08:30;<##PersonalSubject##>;;;10265;2404;23,42;1;0,04;2604;1;0;0,00;0;0,00;7861;76,58;0;0,00;0;0,00;;0;0,00;0;
istIST_5462184;08/11/2025 08:30;<##PersonalSubject##>;;;141624;31833;22,48;29;0,09;35118;98;0;0,00;0;0,00;109791;77,52;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462188;08/11/2025 08:30;<##PersonalSubject##>;;;35618;6653;18,68;2;0,03;7204;4;0;0,00;0;0,00;28965;81,32;0;0,00;0;0,00;;0;0,00;0;
istIST_20251107_YEU_5462888;07/11/2025 15:40;Haftanın Öne Çıkan Fırsatlarını Kaçırma;;;140476;38049;27,09;528;1,39;40471;10449;0;0,00;0;0,00;102427;72,91;0;0,00;0;0,00;;0;0,00;0;
burBUR_20251107_YEU_5462882;07/11/2025 15:30;Haftanın Öne Çıkan Bursa Fırsatlarını Kaçırma;;;10087;2887;28,62;14;0,48;3053;22;0;0,00;0;0,00;7200;71,38;0;0,00;0;0,00;;0;0,00;0;
