Kampanya İsmi;Gönderim Tarihi;E-Posta Konusu;Gönderim Kriterleri;Hariç Tutulacak Kriterler;Gönderilen;Okunan;Okuma Oranı;Tekil Tıklama;Tekil Tıklama Oranı;Toplam Okuma;Toplam Tıklama;Ulaşmayan;Ulaşmayan Oranı;Geçersiz;Geçersiz Oranı;Diğer;Diğer Oran;Üyelikten Ayrılanlar;Üyelikten Ayrılan Oranı;Şikayet;Şikayet Oranı;Ziyaretçi;Satın Alan;Satın Alan Oranı;Ürün;Ciro
ankANK_5462207;10/11/2025 08:30;<##PersonalSubject##>;;;13579;1726;12,71;0;0,00;1829;0;0;0,00;0;0,00;11853;87,29;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462209;10/11/2025 08:30;<##PersonalSubject##>;;;17660;2014;11,40;0;0,00;2124;0;0;0,00;0;0,00;15646;88,60;0;0,00;0;0,00;;0;0,00;0;
burBUR_5462211;10/11/2025 08:30;<##PersonalSubject##>;;;5672;742;13,08;0;0,00;805;0;0;0,00;0;0,00;4930;86,92;0;0,00;0;0,00;;0;0,00;0;
istIST_5462205;10/11/2025 08:30;<##PersonalSubject##>;;;79690;9772;12,26;1;0,01;10470;1;0;0,00;0;0,00;69918;87,74;0;0,00;0;0,00;;0;0,00;0;
antANT_5462213;10/11/2025 08:30;<##PersonalSubject##>;;;5993;707;11,80;0;0,00;758;0;0;0,00;0;0,00;5286;88,20;0;0,00;0;0,00;;0;0,00;0;
istIST_5462195;09/11/2025 08:30;<##PersonalSubject##>;;;79898;18081;22,63;18;0,10;19731;58;0;0,00;0;0,00;61817;77,37;0;0,00;0;0,00;;0;0,00;0;
ankANK_5462197;09/11/2025 08:30;<##PersonalSubject##>;;;13640;3347;24,54;7;0,21;3652;30;0;0,00;0;0,00;10293;75,46;0;0,00;0;0,00;;0;0,00;0;
burBUR_5462201;09/11/2025 08:30;<##PersonalSubject##>;;;5684;1421;25,00;0;0,00;1506;0;0;0,00;0;0,00;4263;75,00;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5462199;09/11/2025 08:30;<##PersonalSubject##>;;;17725;3827;21,59;2;0,05;4098;5;0;0,00;0;0,00;13898;78,41;0;0,00;0;0,00;;0;0,00;0;
antANT_5462203;09/11/2025 08:30;<##PersonalSubject##>;;;5959;1391;23,34;0;0,00;1500;0;0;0,00;0;0,00;4568;76,66;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5462193;08/11/2025 13:00;<##PersonalSubject##>;;;115107;27402;23,81;15;0,05;30061;30;0;0,00;0;0,00;87705;76,19;0;0,00;0;0,00;;0;0,00;0;
