"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (TRY)","Purchases conversion value",Ends,"Link clicks","Website purchases",Views
2022-10-10,2025-11-10,,0,0,0,"Multiple attribution settings",,,3452668,17448751,,501837.55,,,,,1411982
2022-10-10,2025-11-10,"2025 - Iftar - Kaya İstanbul Fair & Convention Hotel",inactive,1000,Lifetime,"7-day click, 1-day view, or 1-day engaged-view",,,1347,2590,,225.05,,2025-03-29,8,,2602
2022-10-10,2025-11-10,"2025 - Iftar - VE Hotels Boğaziçi",inactive,1000,Lifetime,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,2937,6012,104.36,417.44,4036.16,2025-03-29,22,4,5764
2022-10-10,2025-11-10,"FB - IG - Purchase - Nuspa Masaj",inactive,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",11,actions:offsite_conversion.fb_pixel_purchase,2976,7198,57.38090909,631.19,16659.16,Ongoing,48,11,7868
2022-10-10,2025-11-10,"202504 - Kaya İstanbul Fair & Convention Hotel 23 Nisan",inactive,350,Daily,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,1480,2292,36.214,181.07,2155,2025-04-23,24,5,2300
2022-10-10,2025-11-10,"Istanbul Masaj 2025",inactive,1000,Daily,"7-day click, 1-day view, or 1-day engaged-view",25,actions:offsite_conversion.fb_pixel_purchase,14889,40975,170.216,4255.4,28056.82,Ongoing,284,25,41157
2022-10-10,2025-11-10,"New Sales Campaign",inactive,50,Daily,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,1626,4774,408.74,408.74,999,Ongoing,60,1,4778
2022-10-10,2025-11-10,"2025 - Anneler Günü - Kaya İstanbul Fair & Convention Hotel",inactive,500,Daily,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,7098,15173,922.7,922.7,2762.1,Ongoing,46,1,15182
2022-10-10,2025-11-10,"2025 - Anneler Günü - Crowne Plaza Oryapark",inactive,500,Daily,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,7391,15456,383.265,766.53,3256.38,Ongoing,172,2,15479
2022-10-10,2025-11-10,"Purchase - Dr. Well - 202505",inactive,1250,Lifetime,"7-day click",,,174,433,,53.56,,2025-05-31,5,,433
2022-10-10,2025-11-10,"Purchase - Nuspa Masaj - 202505",inactive,200,Daily,"7-day click",3,actions:offsite_conversion.fb_pixel_purchase,1133,2464,93.97666667,281.93,3363.01,Ongoing,33,3,2482
2022-10-10,2025-11-10,"Masaj Promotion - Istanbul",inactive,300,Daily,"7-day click, 1-day view, or 1-day engaged-view",60,actions:offsite_conversion.fb_pixel_purchase,12902,50950,75.07533333,4504.52,140555.88,Ongoing,289,60,56841
2022-10-10,2025-11-10,"Masaj Promotion - Izmir",inactive,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",8,actions:offsite_conversion.fb_pixel_purchase,4408,11876,117.22,937.76,9640.37,Ongoing,85,8,13292
2022-10-10,2025-11-10,"202507 - Tatil Otelleri - Purchase",inactive,1400,Lifetime,"7-day click, 1-day view, or 1-day engaged-view",21,actions:offsite_conversion.fb_pixel_purchase,5241,16153,66.25857143,1391.43,46255.49,2025-07-15,37,21,20566
2022-10-10,2025-11-10,"202507 - Leo Beach Hotel Bodrum",inactive,2000,Lifetime,"7-day click or 1-day view",21,actions:offsite_conversion.fb_pixel_purchase,5743,14144,77.88095238,1635.5,36989.75,2025-08-18,158,21,15648
2022-10-10,2025-11-10,"20250809 - POI Hayvanat Bahçesi",inactive,1000,Lifetime,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,4523,9903,209.97,839.88,9385.6,2025-08-11,101,4,12228
2022-10-10,2025-11-10,"202508 - Aqua Club Dolphin",inactive,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",14,actions:offsite_conversion.fb_pixel_purchase,6424,15185,78.86785714,1104.15,26148.81,Ongoing,167,14,17392
2022-10-10,2025-11-10,"202508 - Zeytinli Rock Festivali",inactive,200,Daily,"7-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,3532,4892,70.355,281.42,4399,Ongoing,57,4,5288
2022-10-10,2025-11-10,"202508 - Aqua Club Dolphin - Copy",inactive,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,3854,5908,108.52333333,325.57,5341.77,Ongoing,46,3,6493
2022-10-10,2025-11-10,"Guzellik - Izmir - GRP15",inactive,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",33,actions:offsite_conversion.fb_pixel_purchase,10578,39562,103.87666667,3427.93,51019.91,Ongoing,219,33,40228
2022-10-10,2025-11-10,"Purchase - Nuspa Fişekhane",inactive,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",33,actions:offsite_conversion.fb_pixel_purchase,13108,42936,132.50666667,4372.72,48118.84,Ongoing,262,33,43198
2022-10-10,2025-11-10,"Tur Sefası ile 29 Ekim",inactive,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",14,actions:offsite_conversion.fb_pixel_purchase,7800,20541,100.365,1405.11,23330.04,Ongoing,152,14,20670
2022-10-10,2025-11-10,"202510 - Guzellik - Izmir",inactive,500,Daily,"7-day click, 1-day view, or 1-day engaged-view",8,actions:offsite_conversion.fb_pixel_purchase,18166,36010,318.545,2548.36,11076.04,2025-11-01,344,8,36079
2022-10-10,2025-11-10,"202510 - Guzellik - Istanbul",inactive,500,Daily,"7-day click, 1-day view, or 1-day engaged-view",15,actions:offsite_conversion.fb_pixel_purchase,15435,33471,171.94666667,2579.2,46891.82,2025-11-01,153,15,33193
2022-10-10,2025-11-10,"20251028 - Ataköy Ramada Plaza By Wyndham İstanbul Hotel - Purchase",active,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",22,actions:offsite_conversion.fb_pixel_purchase,6470,16723,52.32909091,1151.24,107102.74,2025-11-15,85,22,16803
2022-10-10,2025-11-10,"Instagram Post",inactive,200,Daily,"7-day click or 1-day view",45,actions:link_click,3461,3562,5.38066667,242.13,,2025-11-01,45,,3613
2022-10-10,2025-11-10,"New Sales Campaign - Yeni Türkü",completed,500,Daily,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,15105,27243,289.8525,1159.41,1352.78,2024-10-11,270,4,27298
2022-10-10,2025-11-10,"FB - IG - Purchase - Istanbul - Guzellik - 202410",inactive,200,Daily,"7-day click or 1-day view",14,actions:offsite_conversion.fb_pixel_purchase,2395,5629,33.95142857,475.32,43008.8,Ongoing,22,14,5631
2022-10-10,2025-11-10,"FB - IG - Purchase - Izmir - Guzellik - 202410",inactive,200,Daily,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,2827,6256,478.16,478.16,532.16,Ongoing,31,1,6253
2022-10-10,2025-11-10,"New Sales Campaign",inactive,500,Daily,"7-day click or 1-day view",42,actions:offsite_conversion.fb_pixel_purchase,28868,64348,79.46166667,3337.39,54639.81,Ongoing,295,42,64416
2022-10-10,2025-11-10,"New Traffic Campaign with recommended settings",archived,"Using ad set budget",0,-,,,0,0,,0,,2024-10-29,,,0
2022-10-10,2025-11-10,"New Awareness Campaign",inactive,525,Lifetime,"7-day click or 1-day view",95872,reach,95872,95977,3.2559037,312.15,,2024-10-30,2,,96140
2022-10-10,2025-11-10,"FB- IG - Traffic -Funtastic Aquariums",inactive,"Using ad set budget",0,"7-day click or 1-day view",356,actions:link_click,12717,16905,0.62831461,223.68,,Ongoing,356,,16947
2022-10-10,2025-11-10,"FB- IG - Purchase - Funtastic Aquariums",inactive,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,2652,4481,112.44,224.88,1785.93,Ongoing,23,2,4484
2022-10-10,2025-11-10,"FB - IG - Istanbul - Guzellik - 202411",inactive,500,Daily,"7-day click, 1-day view, or 1-day engaged-view",26,actions:offsite_conversion.fb_pixel_purchase,18339,42953,109.07653846,2835.99,46977.68,Ongoing,89,26,43332
2022-10-10,2025-11-10,"FB - IG - Izmir - Guzellik - 202411",inactive,500,Daily,"7-day click, 1-day view, or 1-day engaged-view",16,actions:offsite_conversion.fb_pixel_purchase,22313,52415,181.289375,2900.63,6613.98,Ongoing,208,16,52867
2022-10-10,2025-11-10,"FB - IG - Purchase - Harika Cuma 2024",inactive,1500,Daily,"7-day click, 1-day view, or 1-day engaged-view",25,actions:offsite_conversion.fb_pixel_purchase,6911,9763,38.126,953.15,16541.05,Ongoing,135,25,9801
2022-10-10,2025-11-10,"FB - IG - Purchase - Harika Cuma 2024 - Advantage+ shopping campaign - Copy",inactive,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",38,actions:offsite_conversion.fb_pixel_purchase,14933,29141,86.25447368,3277.67,29646.8,Ongoing,307,38,29298
2022-10-10,2025-11-10,"FB - IG - Purchase - Bilgili Tur Kapadokya",completed,1100,Lifetime,"7-day click, 1-day view, or 1-day engaged-view",16,actions:offsite_conversion.fb_pixel_purchase,13179,22235,68.75,1100,21599.35,2024-12-20,57,16,22397
2022-10-10,2025-11-10,"Traffic - Izmir - Guzellik",inactive,"Using ad set budget",0,"7-day click or 1-day view",190,actions:link_click,4606,7000,1.19952632,227.91,,Ongoing,190,,6524
2022-10-10,2025-11-10,"Traffic - Bilgili Tur Uludağ",inactive,150,Daily,"7-day click or 1-day view",387,actions:link_click,16473,23296,1.45723514,563.95,,Ongoing,387,,19905
2022-10-10,2025-11-10,"FB - IG - 2025 Iftar Istanbul Video",inactive,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",18,actions:offsite_conversion.fb_pixel_purchase,16183,20904,48.02166667,864.39,23020.96,Ongoing,73,18,19356
2022-10-10,2025-11-10,"FB - IG - 2025 Iftar Istanbul",inactive,100,Daily,"7-day click or 1-day view",51,actions:offsite_conversion.fb_pixel_purchase,34893,95687,134.04882353,6836.49,87470.67,Ongoing,517,51,96529
2022-10-10,2025-11-10,"FB - IG - 2025 Kadınlar Günü - Istanbul",inactive,1000,Daily,"7-day click, 1-day view, or 1-day engaged-view",9,actions:offsite_conversion.fb_pixel_purchase,9708,25506,243.77111111,2193.94,8199.11,2025-03-11,111,9,25728
2022-10-10,2025-11-10,"FB - IG - 2025 Kadınlar Günü - Izmir",inactive,1000,Daily,"7-day click, 1-day view, or 1-day engaged-view",19,actions:offsite_conversion.fb_pixel_purchase,11952,29802,121.53315789,2309.13,5027.3,2025-03-11,226,19,30058
2022-10-10,2025-11-10,"FB - IG - 2025 Iftar Istanbul - Advantage+ shopping campaign - Copy",inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"FB - IG - 2025 Iftar Istanbul - Advantage+ shopping campaign Campaign",inactive,"Using ad set budget",0,"7-day click or 1-day view",8,actions:offsite_conversion.fb_pixel_purchase,6953,14506,141.4425,1131.54,11383.32,Ongoing,98,8,14692
2022-10-10,2025-11-10,"New Sales Campaign - Advantage+ shopping campaign - Copy",archived,"Using ad set budget",0,-,,,0,0,,0,,2025-03-12,,,0
2022-10-10,2025-11-10,"2025 - Iftar - Ibis Istanbul Tuzla",inactive,100,Daily,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,4202,7701,125.654,628.27,12866.23,2025-03-28,39,5,7777
2022-10-10,2025-11-10,"2025 - Iftar - Crowne Plaza Oryapark",inactive,1000,Lifetime,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,2788,4707,84.228,421.14,15866.3,2025-03-29,17,5,4760
2022-10-10,2025-11-10,"2025 - Iftar - Clarion Hotel Golden Horn",inactive,1000,Lifetime,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,1460,2314,216.77,216.77,5600,2025-03-29,4,1,2332
2022-10-10,2025-11-10,"FB - IG - Purchase - İzmir - İftar Firsat",inactive,100,Daily,"7-day click or 1-day view",55,actions:offsite_conversion.fb_pixel_purchase,7724,34901,26.27890909,1445.34,22722.08,2024-04-10,133,55,0
2022-10-10,2025-11-10,"Instagram post: Grupanya'da Ramazan Ayı'na Özel...",completed,100,Daily,"7-day click or 1-day view",536,actions:link_click,3995,6799,0.74580224,399.75,,2024-03-17,536,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Kemerhan Sofra",inactive,35,Daily,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,2038,3824,55.1275,220.51,4478.65,2024-04-10,13,4,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Porta Romanos Hotel",inactive,35,Daily,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,1910,3504,73.40333333,220.21,2833.94,2024-04-10,10,3,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Cevahir Hotel İstanbul Asia",inactive,50,Daily,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,2450,3506,80.51666667,241.55,13988,2024-04-10,41,3,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Hilton İstanbul Kozyatağı",inactive,100,Daily,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,2839,6241,180.845,361.69,3450,2024-04-10,25,2,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Dedeman Bostancı Hotel",not_delivering,35,Daily,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,1721,2955,92.475,184.95,2850,2024-04-10,6,2,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Hüsnü Ala Cafe & Restaurant",inactive,50,Daily,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,1588,2542,35.4275,141.71,8197,2024-04-10,12,4,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Ramazan Bayramı Turları",inactive,100,Daily,"7-day click or 1-day view",10,actions:offsite_conversion.fb_pixel_purchase,4990,10676,54.414,544.14,11974.9,2024-04-09,35,10,0
2022-10-10,2025-11-10,"New Sales Campaign",not_delivering,100,Daily,"7-day click or 1-day view",16,actions:offsite_conversion.fb_pixel_purchase,4654,14721,33.374375,533.99,19184.7,Ongoing,48,16,0
2022-10-10,2025-11-10,"Instagram Post",inactive,32.22,Daily,"7-day click or 1-day view",55,actions:link_click,1476,1845,1.01290909,55.71,,2024-04-22,55,,0
2022-10-10,2025-11-10,"IG - Kahvalti Çekiliş",inactive,200,Daily,"7-day click or 1-day view",214,actions:link_click,5226,8007,1.95308411,417.96,,2024-04-21,214,,0
2022-10-10,2025-11-10,"FB - IG - Istanbul - GeziPlus Etkinlik",inactive,67.5,Daily,"7-day click or 1-day view",23,actions:offsite_conversion.fb_pixel_purchase,5680,13197,27.15782609,624.63,23270.69,Ongoing,48,23,0
2022-10-10,2025-11-10,"FB - IG - Izmir - Alsancak Red Dragon Chinese Restaurant",inactive,37.5,Daily,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,596,1120,41.2,41.2,2461.1,Ongoing,2,1,0
2022-10-10,2025-11-10,"FB - IG - Post Promote - Gezinoloji",inactive,50,Daily,"7-day click or 1-day view",90,actions:offsite_conversion.fb_pixel_purchase,48351,131664,53.78644444,4840.78,119510.11,Ongoing,404,90,0
2022-10-10,2025-11-10,"New Traffic Campaign",inactive,"Using ad set budget",0,"7-day click or 1-day view",384,actions:link_click,12751,16177,0.73742188,283.17,,2024-05-16,384,,0
2022-10-10,2025-11-10,"New Sales Campaign",inactive,50,Daily,"7-day click or 1-day view",,,934,1634,,70.81,,Ongoing,10,,0
2022-10-10,2025-11-10,"New Traffic Campaign with recommended settings",inactive,"Using ad set budget",0,"7-day click or 1-day view",172,actions:link_click,10340,12310,0.88063953,151.47,,2024-05-03,172,,0
2022-10-10,2025-11-10,"FB - IG - Kahvaltı",inactive,33,Daily,"7-day click or 1-day view",115,actions:offsite_conversion.fb_pixel_purchase,71043,144392,49.94,5743.1,157778,Ongoing,783,115,0
2022-10-10,2025-11-10,"New Sales Campaign",inactive,37.5,Daily,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,892,1752,51.465,102.93,564,Ongoing,9,2,0
2022-10-10,2025-11-10,"FB - IG - Traffic - The X Hotel Belek",inactive,"Using ad set budget",0,"7-day click or 1-day view",37,actions:link_click,1835,2218,1.32567568,49.05,,Ongoing,37,,0
2022-10-10,2025-11-10,"FB - IG - Traffic - Yeni Asmalı",inactive,33,Daily,"7-day click or 1-day view",1277,actions:link_click,29406,46193,0.4593657,586.61,500,Ongoing,1277,1,0
2022-10-10,2025-11-10,"Advantage+ shopping campaign 05/31/2024 Campaign",not_delivering,50,Daily,-,,,0,0,,0,,1970-01-01,,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Yeni Asmalı",inactive,33,Daily,"7-day click or 1-day view",52,actions:offsite_conversion.fb_pixel_purchase,15401,51383,38.06019231,1979.13,27444.56,Ongoing,431,52,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Kurban Bayramı",inactive,50,Daily,"7-day click or 1-day view",,,721,1074,,55.49,,2024-06-14,1,,0
2022-10-10,2025-11-10,"IG - Post Promote",inactive,200,Daily,"7-day click or 1-day view",,,150852,166657,,339.46,,2023-10-12,29,,0
