Campaign Name,Ad Group Name,Campaign Group Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
PMax Grupanya Brand,,,"TRY1,416,679.70",TRY0.00,"903,995",0,"983,945",0
Hype / Grupanya / Brand / Pure Brand / Broad Match,Pure Brand,,"TRY1,159,347.45",TRY0.00,"4,548,238",0,"4,548,238",0
Hype / Grupanya / Search / DSA - 2,,,"TRY955,060.49",TRY0.00,"834,294",0,"834,294",0
Hype / Grupanya / Jenerik / Search / Güzellik / İstanbul,Masaj Fırsatları,,"TRY563,408.32",TRY0.00,"241,192",0,"241,192",0
Turkey-GRP3-Hotels,,GRP3 Campaigns,"TRY509,624.18",TRY0.00,"1,145,178",0,"1,145,178",0
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul,Fırsat,,"TRY472,973.36",TRY0.00,"372,774",0,"372,774",0
Istanbul - Rakipler L3,Sehirfirsati,,"TRY415,413.06",TRY0.00,"1,091,706",0,"1,091,706",0
Mobile Android Universal App Download,,,"TRY356,771.25",TRY0.00,"3,770,763",0,"4,043,822",0
Istanbul-GRP3,,GRP3 Campaigns,"TRY342,981.66",TRY0.00,"1,351,743",0,"1,351,743",0
Hype / Grupanya / Search / DSA,,,"TRY253,934.94",TRY0.00,"2,368,987",0,"2,368,987",0
Hype / Grupanya / Brand + Kategori/ Broad match #2,Brand Etkinlik,,"TRY246,806.18",TRY0.00,"204,068",0,"204,068",0
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul #2,fırsatlar,,"TRY206,931.34",TRY0.00,"71,377",0,"71,377",0
Hype / Grupanya / Brand + Kategori/ Broad match #2,Brand Fırsat,,"TRY186,835.17",TRY0.00,"116,577",0,"116,577",0
Android Mobile Download,,,"TRY152,612.49",TRY0.00,"1,000,633",0,"1,000,633",0
Ankara-GRP3,,GRP3 Campaigns,"TRY149,707.54",TRY0.00,"599,204",0,"599,204",0
İzmir - Rakipler L3,rakipler,,"TRY117,074.26",TRY0.00,"305,162",0,"305,162",0
Hype / Grupanya / Jenerik / Search / Yemek / İstanbul,,,"TRY89,803.70",TRY0.00,"93,170",0,"93,170",0
Mobile Search Download Android,,,"TRY87,410.18",TRY0.00,"146,327",0,"146,327",0
Ankara - Rakipler L3,rakipler,,"TRY84,389.69",TRY0.00,"293,919",0,"293,919",0
Hype / Grupanya / Jenerik / Search / Güzellik /Ankara,Masaj Fırsatları,,"TRY83,939.34",TRY0.00,"29,175",0,"29,175",0
Antalya - Rakipler L3,rakipler,,"TRY83,676.39",TRY0.00,"239,494",0,"239,494",0
Istanbul - Rakipler L3,fırsat bu fırsat,,"TRY77,673.73",TRY0.00,"224,643",0,"224,643",0
