Optimization Score,Campaign Name
62.8%,Ankara - Rakipler L3
67.3%,Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul #2
71%,Hype / Grupanya / Jenerik / Search / Güzellik / İzmir
72.8%,Hype / Grupanya / Jenerik / Search / Güzellik / İstanbul
73.9%,Hype / Grupanya / Brand + Kategori/ Broad match #2
74.3%,Hype / Grupanya / Search / DSA - 2
79.4%,Hype / Grupanya / Jenerik / Search / Yemek / İstanbul
83%,Antalya - Rakipler L3
83.1%,Hype / Grupanya / Jenerik / Search / Sehir Fırsatı / Antalya
83.2%,İzmir - Rakipler L3
83.2%,Bursa - Rakipler L3
84.2%,Hype / Grupanya / Brand / Pure Brand / Broad Match
88.4%,Grupanya / Search / Custom Campaigns
93.4%,PMax / Masaj / Istanbul
94.1%,Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul
94.4%,PMax Grupanya Brand
96.7%,PMax / Kahvalti / Istanbul
99.3%,PMax / Guzellik / Izmir
99.4%,PMax / Guzellik / Istanbul
99.5%,PMax / Yurtiçi Turlar
