Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
+grupanya,Broad match,Enabled,Enabled,Enabled,"TRY1,083,509.66","4,432,480",62.78%
fırsat,Broad match,Enabled,Enabled,Enabled,"TRY333,233.91","180,118",16.58%
fırsat,Broad match,Enabled,Enabled,Enabled,"TRY190,163.58","66,494",17.03%
masaj fırsat,Broad match,Enabled,Enabled,Enabled,"TRY141,012.61","73,900",15.86%
firsatlar,Broad match,Enabled,Enabled,Enabled,"TRY120,738.14","159,610",16.89%
fırsat masaj istanbul,Broad match,Enabled,Enabled,Enabled,"TRY107,517.74","61,427",18.46%
+grupanya +spa,Broad match,Enabled,Enabled,Enabled,"TRY83,695.93","35,027",57.08%
+grupanya +fırsat,Broad match,Enabled,Enabled,Enabled,"TRY82,777.56","53,607",61.14%
grupanya fırsat,Broad match,Enabled,Paused,Enabled,"TRY62,248.61","31,407",54.44%
grupanya,Broad match,Enabled,Enabled,Enabled,"TRY59,698.65","101,129",72.40%
istanbul masaj,Broad match,Enabled,Enabled,Enabled,"TRY56,430.95","13,234",11.42%
istanbul şehir fırsatı,Broad match,Enabled,Paused,Enabled,"TRY48,276.75","56,980",14.55%
grupanya spa,Broad match,Enabled,Enabled,Enabled,"TRY43,241.26","11,473",18.47%
groupon,Broad match,Enabled,Paused,Enabled,"TRY41,932.56","67,064",30.85%
masaj salonu,Broad match,Enabled,Enabled,Enabled,"TRY39,182.19","9,099",10.66%
+grupanya +fırsatları,Broad match,Enabled,Enabled,Enabled,"TRY38,034.16","27,780",60.35%
+masaj +fırsatları,Broad match,Enabled,Enabled,Enabled,"TRY36,719.60","19,960",29.07%
sehir fırsatı,Broad match,Enabled,Paused,Enabled,"TRY36,634.75","42,639",27.97%
şehirler fırsatı antalya,Broad match,Paused,Enabled,Enabled,"TRY36,424.37","90,019",8.00%
şehir firsatlari istanbul,Broad match,Removed,Paused,Enabled,"TRY36,131.32","199,247",16.42%
+grupanya +otel,Broad match,Enabled,Enabled,Enabled,"TRY33,698.18","36,141",56.95%
İzmir şehir fırsatları,Broad match,Enabled,Enabled,Enabled,"TRY30,877.25","38,674",20.47%
masaj istanbul,Broad match,Enabled,Enabled,Enabled,"TRY29,409.37","7,265",10.90%
şehirfirsati,Broad match,Enabled,Paused,Enabled,"TRY25,965.40","148,990",19.94%
+grupanya +kampanya,Broad match,Enabled,Enabled,Enabled,"TRY25,813.29","14,896",50.45%
şehir fırsat istanbul,Broad match,Removed,Paused,Enabled,"TRY23,953.63","144,262",17.44%
antalya fırsatları,Broad match,Enabled,Enabled,Enabled,"TRY22,105.85","30,320",9.67%
çift masajı fırsat,Broad match,Enabled,Enabled,Enabled,"TRY20,421.33","5,842",29.83%
firsat bu firsat,Broad match,Enabled,Paused,Enabled,"TRY20,120.65","22,278",11.94%
fırsat bu,Broad match,Enabled,Paused,Enabled,"TRY19,575.26","71,968",19.37%
+grupanya,Broad match,Enabled,Paused,Paused,"TRY19,181.03","199,260",41.91%
emaar akvaryum,Broad match,Enabled,Enabled,Paused,"TRY19,095.42","3,012",4.37%
fırsat,Exact match,Removed,Enabled,Enabled,"TRY19,001.31","33,046",30.94%
masaj kampanya,Broad match,Enabled,Enabled,Enabled,"TRY18,347.85","4,999",33.40%
sehirfırsatları,Broad match,Removed,Paused,Enabled,"TRY18,273.85","34,080",19.15%
+şehir +fırsatları,Broad match,Enabled,Paused,Enabled,"TRY18,154.51","45,130",25.75%
otel masaj,Broad match,Enabled,Enabled,Enabled,"TRY18,111.76","4,288",9.58%
sehir fırsatı istanbul,Broad match,Removed,Paused,Enabled,"TRY17,833.16","48,308",19.41%
masaj fırsatları Ankara,Broad match,Enabled,Paused,Enabled,"TRY17,421.65","5,078",17.96%
sehir fırsat istanbul,Broad match,Enabled,Paused,Enabled,"TRY17,300.19","18,870",17.43%
kahvaltı mekanları,Broad match,Paused,Enabled,Enabled,"TRY16,529.45","19,091",13.16%
+fırsat +siteleri,Broad match,Enabled,Paused,Enabled,"TRY16,245.18","23,148",24.99%
şehir fırsatları İzmir,Broad match,Enabled,Enabled,Enabled,"TRY16,161.97","21,814",22.67%
firsat,Broad match,Enabled,Removed,Enabled,"TRY16,116.97","20,276",2.03%
grupanya otel,Broad match,Enabled,Enabled,Enabled,"TRY16,102.73","11,013",59.38%
fırsat bu firsat,Broad match,Enabled,Paused,Enabled,"TRY15,996.82","37,607",17.48%
+şehir +fırsatları +tatil,Broad match,Enabled,Paused,Enabled,"TRY15,962.77","3,959",21.67%
grupanya,Exact match,Enabled,Paused,Enabled,"TRY15,671.64","366,571",56.64%
+masaj +fiyatları,Broad match,Enabled,Paused,Enabled,"TRY15,446.59","7,194",13.21%
+masaj +fırsatı,Broad match,Enabled,Paused,Enabled,"TRY15,021.99","5,439",40.87%
