Quarter,Clicks,Conv. value,Cost / conv.,Cost
2nd quarter 2010,0,0.00,TRY0.00,TRY0.00
3rd quarter 2010,0,0.00,TRY0.00,TRY0.00
4th quarter 2010,0,0.00,TRY0.00,TRY0.00
1st quarter 2011,0,0.00,TRY0.00,TRY0.00
2nd quarter 2011,0,0.00,TRY0.00,TRY0.00
3rd quarter 2011,0,0.00,TRY0.00,TRY0.00
4th quarter 2011,0,0.00,TRY0.00,TRY0.00
1st quarter 2012,0,0.00,TRY0.00,TRY0.00
2nd quarter 2012,0,0.00,TRY0.00,TRY0.00
3rd quarter 2012,0,0.00,TRY0.00,TRY0.00
4th quarter 2012,0,0.00,TRY0.00,TRY0.00
1st quarter 2013,0,0.00,TRY0.00,TRY0.00
2nd quarter 2013,0,0.00,TRY0.00,TRY0.00
3rd quarter 2013,0,0.00,TRY0.00,TRY0.00
4th quarter 2013,0,0.00,TRY0.00,TRY0.00
1st quarter 2014,0,0.00,TRY0.00,TRY0.00
2nd quarter 2014,0,0.00,TRY0.00,TRY0.00
3rd quarter 2014,0,0.00,TRY0.00,TRY0.00
4th quarter 2014,"308,930","92,121.34",TRY2.56,"TRY55,027.95"
1st quarter 2015,"421,806","127,539.40",TRY4.12,"TRY98,067.28"
2nd quarter 2015,"630,684","176,913.00",TRY4.68,"TRY141,209.73"
3rd quarter 2015,"624,122","171,221.00",TRY3.00,"TRY139,096.17"
4th quarter 2015,"636,117","174,971.20",TRY2.39,"TRY154,224.95"
1st quarter 2016,"568,471","229,166.80",TRY1.89,"TRY142,597.91"
2nd quarter 2016,"532,922","252,842.74",TRY2.41,"TRY135,373.07"
3rd quarter 2016,"562,708","206,266.27",TRY1.56,"TRY106,590.04"
4th quarter 2016,"665,617","254,113.33",TRY1.95,"TRY125,979.20"
1st quarter 2017,"716,646","273,794.83",TRY1.66,"TRY125,008.20"
2nd quarter 2017,"1,147,714","362,642.20",TRY1.99,"TRY171,746.64"
3rd quarter 2017,"1,227,760","432,412.62",TRY1.60,"TRY144,307.84"
4th quarter 2017,"1,117,255","488,136.44",TRY2.17,"TRY191,739.83"
1st quarter 2018,"1,110,551","461,939.48",TRY2.63,"TRY193,230.36"
2nd quarter 2018,"1,326,578","479,477.58",TRY3.97,"TRY202,821.25"
3rd quarter 2018,"1,652,932","645,531.40",TRY3.42,"TRY198,263.62"
4th quarter 2018,"1,486,847","682,060.72",TRY3.06,"TRY185,137.14"
1st quarter 2019,"1,337,687","649,206.17",TRY2.68,"TRY148,389.62"
2nd quarter 2019,"1,195,635","475,047.22",TRY3.93,"TRY128,412.54"
3rd quarter 2019,"598,401","303,139.74",TRY4.65,"TRY72,778.94"
4th quarter 2019,"826,957","664,036.43",TRY2.45,"TRY78,727.87"
1st quarter 2020,"617,466","476,590.10",TRY2.88,"TRY57,081.09"
2nd quarter 2020,"82,694","90,975.17",TRY0.92,"TRY2,310.68"
3rd quarter 2020,"248,765","144,826.85",TRY1.31,"TRY9,381.85"
4th quarter 2020,"136,859","75,841.92",TRY1.63,"TRY6,612.88"
1st quarter 2021,"123,262","52,342.73",TRY1.70,"TRY5,427.01"
2nd quarter 2021,"140,739","75,827.87",TRY2.25,"TRY7,700.84"
3rd quarter 2021,"324,417","185,110.90",TRY2.81,"TRY21,760.72"
4th quarter 2021,"328,234","182,904.21",TRY14.31,"TRY93,107.61"
1st quarter 2022,"304,535","257,273.84",TRY11.12,"TRY85,729.91"
2nd quarter 2022,"455,582","314,609.88",TRY16.19,"TRY123,845.04"
3rd quarter 2022,"451,013","402,219.40",TRY20.67,"TRY169,138.54"
4th quarter 2022,"364,662","504,516.92",TRY30.53,"TRY240,060.74"
1st quarter 2023,"319,422","536,913.12",TRY32.48,"TRY235,437.59"
2nd quarter 2023,"434,475","825,970.78",TRY29.93,"TRY308,952.19"
3rd quarter 2023,"432,745","1,171,155.01",TRY32.64,"TRY369,908.76"
4th quarter 2023,"405,964","1,206,172.19",TRY45.61,"TRY472,754.02"
1st quarter 2024,"527,090","1,641,305.41",TRY58.68,"TRY675,802.12"
2nd quarter 2024,"348,365","1,480,297.36",TRY60.18,"TRY547,856.08"
3rd quarter 2024,"343,842","1,851,577.05",TRY64.51,"TRY635,397.36"
4th quarter 2024,"305,024","1,862,386.64",TRY63.69,"TRY636,120.08"
1st quarter 2025,"291,040","1,975,050.18",TRY65.92,"TRY552,512.54"
2nd quarter 2025,"238,970","1,960,630.95",TRY77.91,"TRY587,986.98"
3rd quarter 2025,"247,208","2,393,344.40",TRY70.11,"TRY591,123.28"
4th quarter 2025,"73,254","703,146.66",TRY75.94,"TRY194,215.22"
