Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,< 10%,< 10%,No data,No data,No data,No data,75.26%,75.26%,No data,No data
tatilsepeti.com,10.49%,10.49%,9.16%,9.16%,3.70%,3.70%,83.05%,83.05%,72.79%,72.79%
firsat.me,< 10%,< 10%,8.59%,8.59%,21.15%,21.15%,79.75%,79.75%,41.53%,41.53%
jollytur.com,< 10%,< 10%,9.22%,9.22%,2.92%,2.92%,80.41%,80.41%,71.36%,71.36%
trivago.com.tr,15.56%,15.56%,9.12%,9.12%,6.01%,6.01%,87.26%,87.26%,51.58%,51.58%
enuygun.com,< 10%,< 10%,9.33%,9.33%,1.59%,1.59%,83.08%,83.08%,53.31%,53.31%
etstur.com,10.66%,10.66%,9.18%,9.18%,3.83%,3.83%,91.31%,91.31%,64.06%,64.06%
odamax.com,< 10%,< 10%,9.33%,9.33%,1.42%,1.42%,84.65%,84.65%,65.36%,65.36%
otelz.com,10.71%,10.71%,9.24%,9.24%,3.36%,3.36%,86.39%,86.39%,53.73%,53.73%
tatilbudur.com,13.45%,13.45%,9.09%,9.09%,4.78%,4.78%,86.30%,86.30%,73.04%,73.04%
firsatbufirsat.com,10.51%,10.51%,7.41%,7.41%,38.11%,38.11%,80.05%,80.05%,55.81%,55.81%
hotels.com,< 10%,< 10%,9.27%,9.27%,2.52%,2.52%,86.45%,86.45%,62.21%,62.21%
