Campaign Name,Ad Group Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
PMax Grupanya Brand,,"TRY641,433.24","TRY441,080.55","289,898","272,332","344,020","289,275"
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul #2,fırsatlar,"TRY15,185.37","TRY191,745.97","12,322","59,055","12,322","59,055"
Hype / Grupanya / Jenerik / Search / Güzellik / İstanbul,Masaj Fırsatları,"TRY86,605.10","TRY160,848.36","15,192","42,131","15,192","42,131"
Hype / Grupanya / Search / DSA - 2,,"TRY161,829.24","TRY236,041.18","44,683","100,633","44,683","100,633"
Hype / Grupanya / Brand + Kategori/ Broad match #3,,"TRY66,573.36",TRY0.00,"33,053",0,"33,053",0
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul,Fırsat,"TRY88,790.65","TRY151,027.28","32,111","63,774","32,111","63,774"
PMax / Masaj / Istanbul,,"TRY50,365.41",TRY0.00,"11,943",0,"30,436",0
Istanbul - Rakipler L3,Sehirfirsati,"TRY41,669.49","TRY80,331.33","12,365","28,641","12,365","28,641"
Hype / Grupanya / Brand / Pure Brand / Broad Match,,"TRY341,643.04","TRY304,834.26","219,601","347,195","219,601","347,195"
Grupanya / Search / Custom Campaigns,emaar-akvaryum-sualti-hayvanat-bahcesi-giris,"TRY6,693.87","TRY35,229.52","1,350","5,377","1,350","5,377"
Hype / Grupanya / Jenerik / Search / Yemek / İstanbul,,"TRY9,136.32","TRY35,062.98","7,069","28,730","7,069","28,730"
Hype / Grupanya / Brand + Kategori/ Broad match #2,Brand Fırsat,"TRY102,360.01","TRY76,705.93","44,815","55,648","44,815","55,648"
Hype / Grupanya / Jenerik / Search / Güzellik /Ankara,Masaj Fırsatları,"TRY21,471.96","TRY43,493.62","4,970","11,837","4,970","11,837"
Hype / Grupanya / Jenerik / Search / Güzellik / İstanbul,Spa Fırsatları,"TRY6,528.38","TRY27,458.90","1,111","6,111","1,111","6,111"
Jenerik / Search / Güzellik / İzmir,Cilt Bakımı Fırsatları,"TRY21,086.62","TRY2,074.51","10,507","1,122","10,507","1,122"
Hype / Grupanya / Jenerik / Search / Güzellik /Ankara,Spa Fırsatları,"TRY5,754.18","TRY19,320.32","1,484","5,689","1,484","5,689"
Jenerik / Search / Güzellik / İstanbul,Cilt Bakımı Fırsatları,"TRY12,805.66",TRY585.67,"3,005",170,"3,005",170
PMax / Guzellik / Izmir,,"TRY12,134.17",TRY0.00,"4,661",0,"5,267",0
İzmir - Rakipler L3,rakipler,"TRY8,251.88","TRY20,148.99","9,343","23,955","9,343","23,955"
