Campaign Name,Campaign Group Name,Campaign Status,Cost,Conversions,Cost / conv.
PMax Grupanya Brand,,Enabled,"TRY641,433.24","9,584.47",TRY66.92
Hype / Grupanya / Brand / Pure Brand / Broad Match,,Enabled,"TRY341,643.04","7,320.08",TRY46.67
Hype / Grupanya / Brand + Kategori/ Broad match #2,,Enabled,"TRY205,607.24","2,975.64",TRY69.10
Hype / Grupanya / Search / DSA - 2,,Enabled,"TRY161,829.24","1,559.22",TRY103.79
Hype / Grupanya / Jenerik / Search / Güzellik / İstanbul,,Enabled,"TRY93,186.94",539.63,TRY172.69
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul,,Enabled,"TRY88,847.89",590.07,TRY150.57
Istanbul - Rakipler L3,,Paused,"TRY75,229.97",203.82,TRY369.11
Hype / Grupanya / Brand + Kategori/ Broad match #3,,Paused,"TRY66,573.36","1,071.57",TRY62.13
PMax / Masaj / Istanbul,,Enabled,"TRY50,365.41",595.14,TRY84.63
Hype / Grupanya / Jenerik / Search / Güzellik /Ankara,,Paused,"TRY27,382.79",188.81,TRY145.03
Jenerik / Search / Güzellik / İzmir,,Paused,"TRY26,298.95",492.51,TRY53.40
Jenerik / Search / Güzellik / İstanbul,,Paused,"TRY22,541.11",216.61,TRY104.06
Hype_Grupanya_İstanbul_İftar,,Paused,"TRY22,507.20",214.14,TRY105.11
Grupanya / Search / Custom Campaigns,,Enabled,"TRY17,893.76",274.51,TRY65.18
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul #2,,Enabled,"TRY15,203.77",186.03,TRY81.73
PMax / Guzellik / Izmir,,Enabled,"TRY12,134.17",207.65,TRY58.43
Hype / Grupanya / Jenerik / Search / Güzellik / İzmir,,Enabled,"TRY11,290.75",111.65,TRY101.13
PMax / Kahvalti / Istanbul,,Enabled,"TRY9,228.76",118.17,TRY78.10
Hype / Grupanya / Jenerik / Search / Yemek / İstanbul,,Enabled,"TRY9,136.32",83.77,TRY109.06
İzmir - Rakipler L3,,Enabled,"TRY8,254.14",145.60,TRY56.69
Ankara - Rakipler L3,,Enabled,"TRY7,211.52",67.89,TRY106.23
PMax / Guzellik / Istanbul,,Enabled,"TRY4,376.50",35.53,TRY123.19
Grupanya / Search / Custom Campaigns / Aydin,,Paused,"TRY2,682.60",0.00,TRY0.00
Antalya - Rakipler L3,,Enabled,"TRY2,558.25",35.42,TRY72.23
Bursa - Rakipler L3,,Enabled,"TRY2,058.69",19.49,TRY105.64
Hype / Grupanya / Jenerik / Search / Sehir Fırsatı / Antalya,,Enabled,TRY305.89,42.36,TRY7.22
Mobile Android Universal App Download,,Paused,TRY56.50,37.00,TRY1.53
Istanbul-GRP3-Channels,,Enabled,TRY0.00,0.00,TRY0.00
Bursa-GRP3-Channels,,Enabled,TRY0.00,0.00,TRY0.00
PMax / Yurtiçi Turlar,,Enabled,TRY0.00,0.00,TRY0.00
