Search,Cost,Clicks,Impressions,Conversions
grupanya,"TRY311,083.50","211,053","462,202",0.00
fırsat bu fırsat,"TRY36,963.60","17,192","228,719",0.00
fırsat me,"TRY2,996.33","1,635","42,940",0.00
grupanya izmir,"TRY31,034.15","22,317","41,707",0.00
firsatbufirsat,"TRY3,908.68","2,690","35,726",0.00
emaar akvaryum,"TRY3,649.75",737,"33,394",0.00
aqua dolphin,"TRY2,638.05",762,"25,502",0.00
grupanya ankara,"TRY19,031.97","11,907","23,959",0.00
grupanya masaj,"TRY46,082.50","12,303","23,123",0.00
grupanya antalya,"TRY13,640.35","9,810","19,553",0.00
şehir fırsatları,"TRY7,736.58","4,876","14,887",0.00
fırsat,"TRY4,112.75","2,020","14,051",0.00
grupanya bursa,"TRY12,297.02","7,379","13,462",0.00
nuspa,"TRY2,164.62",406,"13,027",0.00
grupanya istanbul,"TRY16,556.87","6,680","11,132",0.00
masaj,"TRY8,857.07","1,481","10,724",0.00
polonezköy kahvaltı,"TRY4,036.33",876,"10,198",0.00
g5 masajı,TRY875.31,284,"10,005",0.00
yakala co,"TRY4,363.92","2,974","9,964",0.00
fırsat 35,"TRY4,242.60","2,601","9,260",0.00
emaar akvaryum bilet,TRY657.84,126,"8,796",0.00
istanbul iftar mekanları,"TRY1,038.68","1,315","8,590",0.00
cilt bakımı,"TRY1,586.76",374,"7,613",0.00
firsat bu firsat,TRY815.51,388,"7,490",0.00
masaj fırsatları,"TRY15,719.36","2,739","7,117",0.00
dolusu park,TRY708.38,425,"7,115",0.00
üsküdar iftar mekanları,TRY660.99,775,"6,964",0.00
groupon,"TRY3,802.49","1,580","6,433",0.00
dr well,"TRY1,387.36",415,"6,370",0.00
aqua club dolphin,TRY600.88,142,"5,062",0.00
firsat me,TRY301.26,172,"4,645",0.00
firsat,"TRY2,532.55",792,"4,626",0.00
grupanya kahvaltı,"TRY2,808.39","2,478","4,616",0.00
izmir fırsat,"TRY2,023.59","2,014","4,611",0.00
kahvaltı fırsatları,"TRY1,832.32","1,287","4,529",0.00
kahvaltı mekanları,TRY380.95,399,"4,339",0.00
koza garden,TRY726.73,160,"4,126",0.00
fırsat bu fırsat izmir,TRY855.63,561,"4,063",0.00
iftar mekanları,TRY402.51,520,"4,001",0.00
fırsat bu fırsat istanbul,TRY878.74,274,"3,846",0.00
fırsat siteleri,"TRY3,557.48","1,339","3,724",0.00
istanbul fırsatları,"TRY4,022.45","1,123","3,688",0.00
waterhill,TRY580.38,199,"3,576",0.00
polonezköy kahvaltı mekanları,"TRY1,349.65",280,"3,496",0.00
ankara masaj,"TRY2,295.29",433,"3,364",0.00
kirpik lifting,TRY140.75,33,"3,243",0.00
izmir masaj,"TRY1,964.78",607,"3,075",0.00
başarır at çiftliği,TRY727.35,168,"2,980",0.00
adaland,TRY509.60,182,"2,935",0.00
şehir fırsatı,"TRY1,263.04",691,"2,926",0.00
grupanya ankara masaj,"TRY6,961.96","1,535","2,891",0.00
nuspa masaj,"TRY1,284.19",219,"2,839",0.00
spa,TRY616.94,115,"2,791",0.00
fırsat35,"TRY1,209.53",829,"2,697",0.00
masaj salonu,"TRY1,168.52",235,"2,593",0.00
teknede iftar,"TRY1,573.67",338,"2,548",0.00
dinopark,TRY189.95,47,"2,488",0.00
ankara fırsatları,"TRY1,173.51","1,065","2,445",0.00
istanbul kahvaltı mekanları,TRY199.14,210,"2,402",0.00
grupanya otel,"TRY3,687.39","1,565","2,397",0.00
yakala co izmir,"TRY1,073.06",834,"2,371",0.00
izmir fırsatları,"TRY1,160.28","1,053","2,357",0.00
hydrafacial cilt bakımı,TRY182.62,51,"2,350",0.00
grupanya spa,"TRY3,551.90","1,351","2,342",0.00
istanbul masaj,"TRY2,865.68",464,"2,322",0.00
fırsat bu fırsat masaj,TRY660.27,162,"2,286",0.00
baia hotel bursa,TRY592.17,85,"2,258",0.00
milagro spa,TRY636.71,163,"2,218",0.00
