Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
grupanya,"TRY469,503.70","290,148","610,906",0.00,"(grupanya, grupanya izmir, grupanya ankara)"
fırsat,"TRY58,571.46","29,174","319,457",0.00,"(fırsat bu fırsat, fırsat me, fırsat)"
bu,"TRY40,636.95","18,854","250,338",0.00,"(fırsat bu fırsat, firsat bu firsat, fırsat bu fırsat izmir)"
masaj,"TRY90,622.88","20,826","65,634",0.00,"(grupanya masaj, masaj, masaj fırsatları)"
izmir,"TRY38,669.64","28,024","60,007",0.00,"(grupanya izmir, izmir fırsat, fırsat bu fırsat izmir)"
me,"TRY3,297.60","1,807","47,585",0.00,"(fırsat me, firsat me)"
akvaryum,"TRY4,484.86",909,"45,604",0.00,"(emaar akvaryum, emaar akvaryum bilet, emaar akvaryum fiyat)"
emaar,"TRY4,484.86",909,"45,604",0.00,"(emaar akvaryum, emaar akvaryum bilet, emaar akvaryum fiyat)"
fırsatları,"TRY36,234.66","14,091","40,443",0.00,"(şehir fırsatları, masaj fırsatları, kahvaltı fırsatları)"
firsatbufirsat,"TRY3,908.68","2,690","35,726",0.00,(firsatbufirsat)
istanbul,"TRY29,560.99","11,308","35,687",0.00,"(grupanya istanbul, istanbul iftar mekanları, fırsat bu fırsat istanbul)"
ankara,"TRY29,975.39","15,071","34,426",0.00,"(grupanya ankara, ankara masaj, grupanya ankara masaj)"
aqua,"TRY3,808.98","1,037","34,083",0.00,"(aqua dolphin, aqua club dolphin, aqua atlantis)"
mekanları,"TRY4,498.09","4,112","33,988",0.00,"(istanbul iftar mekanları, üsküdar iftar mekanları, kahvaltı mekanları)"
dolphin,"TRY3,502.62",994,"33,941",0.00,"(aqua dolphin, aqua club dolphin, dolphin aquapark)"
kahvaltı,"TRY11,337.48","6,335","33,584",0.00,"(polonezköy kahvaltı, grupanya kahvaltı, kahvaltı fırsatları)"
iftar,"TRY4,945.52","4,212","29,457",0.00,"(istanbul iftar mekanları, üsküdar iftar mekanları, iftar mekanları)"
şehir,"TRY12,359.51","6,418","19,800",0.00,"(şehir fırsatları, şehir fırsatı, şehir fırsatları istanbul)"
antalya,"TRY13,640.35","9,810","19,553",0.00,(grupanya antalya)
bursa,"TRY13,750.88","7,729","17,490",0.00,"(grupanya bursa, baia hotel bursa, bursa masaj)"
firsat,"TRY3,649.32","1,352","16,761",0.00,"(firsat bu firsat, firsat me, firsat)"
